Job Title,Rating,Company Name,Type of ownership,Industry,Sector,max_salary,avg_salary,avg_size,city,state,age,python_yn,R_yn,spark_yn,aws_yn,hadoop_yn
Data Science Manager,4.6,Discord,Company - Private,Internet,Information Technology,124,98.5,350.5,San Francisco,CA,5,1,0,0,1,1
Data Science Scrum Master,3.6,Foot Locker,Company - Public,"Department, Clothing, & Shoe Stores",Retail,124,98.5,10000.0,Saint Petersburg,FL,46,0,0,0,0,0
Director of Data Science,4.2,Mode Analytics,Company - Private,Internet,Information Technology,124,98.5,125.5,Remote,Remote,7,0,0,0,0,0
Manager Data Science,4.6,EDI Staffing,Company - Private,Staffing & Outsourcing,Business Services,124,98.5,125.5,Tampa,FL,26,0,0,0,0,0
Data Science Engineer,-1.0,EngiSys,Company - Private,IT Services,Information Technology,124,98.5,25.5,Rockville,MD,21,1,0,1,0,1
Data science intern,-1.0,"Extend Enterprises, Inc.",-1,-1,-1,124,98.5,-1.0,New York,NY,-1,0,0,0,0,0
Data Science Product Manager,3.7,MassMutual,Company - Private,Insurance Carriers,Insurance,124,98.5,7500.5,Boston,MA,169,0,0,0,0,0
Data science,4.8,Softstandard solution,Company - Private,-1,-1,124,98.5,125.5,Texas City,TX,-1,0,0,0,0,0
Sr. Data Science Innovation Engineer,4.9,ClearStory Data,Company - Private,Enterprise Software & Network Solutions,Information Technology,124,98.5,125.5,Ann Arbor,MI,9,1,0,0,0,1
Data Science Consultant,2.8,BizTech Solutions Inc,Company - Private,Advertising & Marketing,Business Services,124,98.5,25.5,Texas City,TX,-1,0,0,0,0,0
Technical Consultant - Data Science,3.7,Rockwell Automation,Company - Public,Industrial Manufacturing,Manufacturing,124,98.5,10000.0,Milwaukee,WI,117,0,0,1,0,1
DATA SCIENCE & TAGGING ANALYST,3.8,Mission Essential,Company - Private,Aerospace & Defense,Aerospace & Defense,124,98.5,3000.5,Bethesda,MD,16,1,0,1,0,0
Data Science Consultant (Scientist),5.0,PriceSenz,Company - Public,-1,-1,124,98.5,-1.0,Denver,CO,-1,1,0,0,0,0
Senior Data Architect - Data Science & Machine Learning,3.7,AvidXchange,Company - Private,Computer Hardware & Software,Information Technology,124,98.5,3000.5,Charlotte,NC,20,1,0,0,1,0
Data Science Application Engineer,3.5,MGIC Investment Corp,Company - Public,Insurance Carriers,Insurance,124,98.5,750.5,Milwaukee,WI,63,1,0,1,0,0
Director Data Science,5.0,PROPRIUS,Company - Private,Enterprise Software & Network Solutions,Information Technology,124,98.5,25.5,San Francisco,CA,-1,0,0,0,0,0
Data Science Bulk Req,3.5,Andiamo,Company - Private,Casual Restaurants,"Restaurants, Bars & Food Services",124,98.5,350.5,New York,NY,-1,0,0,1,1,0
Data Science Instructor,3.6,"Jacobs Engineering Group, Inc.",Company - Public,Architectural & Engineering Services,Business Services,124,98.5,10000.0,Reston,VA,73,0,0,0,0,0
IT Partner Digital Health Technology and Data Science,3.6,Biogen,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,148,119.5,7500.5,Cambridge,MA,42,0,0,0,0,0
Associate Director of Data Science,4.0,California Primary Care Association,Nonprofit Organization,Membership Organizations,Business Services,148,119.5,25.5,Sacramento,CA,26,0,0,0,0,0
Director of Data Science,4.3,Match Relevant,Company - Private,Advertising & Marketing,Business Services,148,119.5,25.5,Newport Beach,CA,-1,1,0,0,1,0
Data Science Architect,4.3,"Onica, a Rackspace Company",Company - Private,IT Services,Information Technology,148,119.5,350.5,Austin,TX,3,1,0,0,1,0
Senior Data Science Analyst - IHM,3.8,Discover,Company - Public,Financial Transaction Processing,Finance,148,119.5,10000.0,Riverwoods,IL,35,1,0,0,0,0
Data Science Support Analyst (Senior),3.6,BAE Systems USA,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,148,119.5,10000.0,McLean,VA,21,0,0,0,0,0
Data Science Chapter Lead,3.5,Cimpress/Vistaprint,Company - Public,Other Retail Stores,Retail,148,119.5,7500.5,Waltham,MA,25,0,0,0,0,0
"Mgr, Data Science",3.1,AAA Auto Club,Nonprofit Organization,Membership Organizations,Business Services,148,119.5,750.5,Tampa,FL,118,0,0,0,0,0
Director of Data Science,2.8,Chewy,Company - Public,Pet & Pet Supplies Stores,Retail,148,119.5,10000.0,Boston,MA,9,0,0,0,0,0
"Director, Epidemiologic Data Science",4.1,Pfizer,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,148,119.5,10000.0,New York,NY,171,0,0,0,1,0
Data Science Fellow,3.5,Yakima Valley Farm Workers Clinic,Nonprofit Organization,Health Care Services & Hospitals,Health Care,148,119.5,3000.5,Toppenish,WA,42,0,0,0,0,0
NCI T32 Post-Doctoral Fellowship in Cancer Data Science,4.0,H. Lee Moffitt Cancer Center & Research Institute,Hospital,Health Care Services & Hospitals,Health Care,148,119.5,7500.5,Tampa,FL,36,1,0,0,0,0
Data Science Instructor,3.8,KBR,Company - Public,Energy,"Oil, Gas, Energy & Utilities",148,119.5,10000.0,Dayton,OH,119,0,0,0,0,0
Head of Data Science,3.6,MediaMath,Company - Private,Advertising & Marketing,Business Services,148,119.5,750.5,New York,NY,13,1,0,1,0,0
Manager IoT Data Science,3.5,Rheem,Company - Private,Industrial Manufacturing,Manufacturing,148,119.5,10000.0,Roswell,NM,95,0,0,0,0,0
Data Science Manager,-1.0,9Rooftops,Company - Private,Advertising & Marketing,Business Services,148,119.5,350.5,Pittsburgh,PA,0,1,0,0,1,0
Data Science Fellow,-1.0,Øptimus Consulting,-1,-1,-1,148,119.5,-1.0,Alexandria,VA,-1,1,0,0,0,0
Data Science and Analytics,4.0,Two95 International Inc.,Company - Private,Staffing & Outsourcing,Business Services,148,119.5,25.5,New York,NY,-1,0,0,0,0,0
"Data Science Instructor, Journeyman",3.8,KBR,Company - Public,Energy,"Oil, Gas, Energy & Utilities",148,119.5,10000.0,Dayton,OH,119,1,0,0,0,0
Data Science Engineer,-1.0,OneModel,-1,-1,-1,148,119.5,-1.0,Austin,TX,-1,1,0,1,1,1
Data Science Temp,2.8,1-800-Flowers,Company - Public,Wholesale,Business Services,148,119.5,3000.5,New York,NY,44,0,0,0,0,0
"Director, Strategic Research Data Science",3.8,E&A,Unknown,-1,-1,148,119.5,125.5,Houston,TX,10,0,0,0,0,0
Data Science Instructor,3.7,General Assembly,Company - Private,Education Training Services,Education,148,119.5,750.5,Austin,TX,9,1,0,1,0,1
